mESC,pro-B,Myotube,Th-cell,Macrophage
NM_001110827,NM_178856,NM_001170868,NM_007872,NM_001081304
NM_001033274,NM_009941,NM_028262,NM_172500,NM_026268
NM_178114,NM_145605,NM_001145660,NM_008302,NM_021272
NM_028003,NM_001081121,NM_080728,NM_008413,NM_001001806
NM_021391,NM_011136,NM_007836,NM_008479,NM_008515
NM_001003918,NM_028820,NM_010656,NM_020271,NM_010604
NM_013506,NM_007783,NM_007378,NM_007746,NM_030732
NM_133752,NM_026942,NM_027990,NM_009192,NM_176829
NM_023844,NM_001083927,NM_009702,NM_145968,NM_178045
NM_001159517,NM_177460,NM_011406,NM_011498,NM_001081084
NM_013642,NM_153119,NM_146106,NM_021366,NM_183029
NR_036469,NM_173731,NM_029122,NM_177683,NM_001081298
NM_008842,NM_026122,NM_009600,NM_009851,NM_001159572
NM_010831,NM_007502,NM_178722,NM_153138,NM_010581
NM_013633,NM_011279,NM_007416,NM_001038846,NM_021366
NM_001115075,NM_001002896,NR_028307,NM_025816,NM_001111100
NM_146477,NM_053159,NM_001160422,NM_001037298,NM_001177980
NM_001111313,NM_133978,NM_145983,NM_009373,NM_008913
NM_001081636,NM_009371,NM_021323,NM_010437,NR_015548
NM_172963,NM_031185,NM_001164437,NR_003283,NM_001014398
NM_001164077,NM_010511,NM_022995,NM_177301,NM_053109
NM_001164074,NM_178258,NM_010017,NM_011893,NM_013610
NM_001195766,NM_026113,NM_177860,NM_010009,NM_011945
NM_008989,NM_001081054,NM_009694,NM_009331,NM_010344
NM_022996,NM_011156,NM_144537,NM_027514,NM_010819
NM_011898,NM_019965,NM_025500,NM_010090,NM_175751
NM_026135,NM_016803,NM_054050,NM_175436,NM_001005419
NR_029557,NM_009514,NM_026752,NM_009421,NM_008777
NM_001042660,NM_007705,NM_001146349,NM_027668,NM_001025255
NM_201354,NM_172457,NM_001110830,NM_001113351,NM_009014
NR_003513,NM_010304,NM_145928,NM_001190461,NM_001168525
NM_001033759,NM_001042523,NM_026713,NM_033042,NM_009987
NM_010638,NM_001079876,NR_003513,NM_018788,NM_027077
NM_015826,NM_001080134,NM_028044,NM_008138,NM_172664
