mESC,pro-B,Myotube,Th-cell
,,NM_001029889,NM_028451
,,NM_029381,NM_177603
,,NM_133641,NM_001033805
,,NM_145445,NM_008844
,,NM_001081636,NM_025664
,,NM_001033145,NM_010813
,,NM_013681,NM_007707
,,NM_011156,NM_001166385
,,NM_001163480,NM_008515
,,NM_175456,NM_009744
,,NM_010831,NM_027882
,,NM_009911,NM_015743
,,NM_011711,NM_009829
,,NM_172925,NM_144549
,,NR_029822,NM_001163565
,,NM_010831,NM_008132
,,NM_027721,NM_028041
,,NM_001111022,NR_029793
,,NM_023245,NM_007481
,,NM_177289,NM_001145970
,,NM_009082,NM_021606
,,NM_007880,NM_001081044
,,NM_030565,NM_025626
,,NM_019835,NM_001167996
,,NM_028863,NM_134074
,,NM_013692,NM_175104
,,NM_178406,NM_001146027
,,NM_172809,NM_009728
,,NM_029580,NM_008037
,,NM_177445,NR_030494
,,NM_001142918,NM_027427
,,NM_146155,NM_015732
,,NM_172505,
,,NM_001163300,
,,NM_178692,
,,NM_013635,
,,NM_133249,
,,NM_001161818,
,,NM_008453,
,,NM_001195596,
,,NM_028921,
,,NM_007631,
,,NM_001083934,
,,NM_007984,
,,NM_011817,
,,NM_026315,
,,NM_008795,
,,NM_008337,
,,NM_010078,
,,NM_010745,
,,NM_033320,
,,NM_008083,
,,NM_009416,
,,NM_030145,
,,NM_198294,
,,NM_001080979,
,,NM_146071,
,,NM_026599,
,,NM_178615,
,,NM_175347,
,,NM_181401,
,,NM_178119,
,,NM_177378,
,,NM_001177794,
,,NM_010818,
,,NM_018825,
,,NM_001005422,
,,NM_008453,
,,NM_007956,
,,NM_001001986,
,,NM_172484,
,,NM_001024617,
,,NM_001164251,
,,NM_178267,
,,NM_008592,
,,NM_024286,
,,NM_172418,
,,NR_033430,
,,NM_030719,
,,NM_023580,
,,NM_178930,
,,NM_001136075,
,,NM_001198566,
,,NR_035495,
,,NM_009851,
,,NM_008968,
,,NM_145420,
,,NM_014193,
,,NM_009023,
,,NM_029736,
,,NR_015485,
,,NR_030254,
,,NM_001081310,
,,NM_145923,
,,NM_018825,
,,NM_001081418,
,,NM_173785,
,,NM_001145929,
,,NM_182994,
,,NM_025964,
,,NM_011780,
,,NM_008250,
,,NM_007433,
,,NM_010637,
,,NM_134086,
,,NM_172721,
,,NM_025681,
,,NM_009238,
,,NM_019636,
,,NR_029532,
,,NM_026634,
,,NM_001081417,
,,NM_145857,
,,NM_001083808,
,,NM_022422,
,,NM_030024,
,,NM_146131,
,,NM_001113412,
,,NM_172964,
,,NM_146057,
,,NM_025833,
,,NM_030004,
,,NM_011851,
,,NM_026161,
,,NM_011351,
,,NM_008732,
,,NM_008296,
,,NM_029810,
,,NM_001161362,
,,NM_152808,
,,NM_001081242,
